,count,mean,std,min,max
ged_best_ns_tlag12,44024.0,0.121,0.652,0.0,8.0
ged_best_sb_tlag12,44024.0,0.203,1.416,0.0,21.0
ged_best_osv_tlag12,44024.0,0.089,0.846,0.0,20.0
ged_best_ns_splag1_tlag12,44024.0,0.514,1.5,0.0,10.0
ged_best_sb_splag1_tlag12,44024.0,1.064,3.975,0.0,30.0
ged_best_osv_splag1_tlag12,44024.0,0.546,2.448,0.0,21.0
acled_prrio_count_tlag12,44024.0,13.291,22.775,0.0,312.0
acled_prrio_count_splag1_tlag12,44024.0,67.897,73.972,0.0,452.0
acled_prex_count_tlag12,44024.0,0.801,2.262,0.0,37.0
acled_prex_count_splag1_tlag12,44024.0,4.464,6.763,0.0,46.0
ged_best_ns_ts_decay_6_tlag12,44024.0,0.103,0.264,0.0,1.0
ged_best_osv_ts_decay_6_tlag12,44024.0,0.059,0.212,0.0,1.0
ged_best_sb_ts_decay_6_tlag12,44024.0,0.045,0.196,0.0,1.0
acled_prrio_count_ts_decay_6_tlag12,44024.0,0.98,0.107,0.0,1.0
acled_prrio_count_splag1_ts_decay_6_tlag12,44024.0,1.0,0.003,0.891,1.0
acled_prex_count_ts_decay_6_tlag12,44024.0,0.407,0.445,0.0,1.0
acled_prex_count_splag1_ts_decay_6_tlag12,44024.0,0.847,0.312,0.0,1.0
deco_best_ns_tlag12,44024.0,0.343,5.857,0.0,137.0
deco_best_sb_tlag12,44024.0,0.145,0.979,0.0,16.0
deco_best_osv_tlag12,44024.0,0.135,1.206,0.0,20.0
deco_best_ns_splag1_tlag12,44024.0,2.228,15.262,0.0,140.0
deco_best_sb_splag1_tlag12,44024.0,0.775,2.548,0.0,16.0
deco_best_osv_splag1_tlag12,44024.0,0.77,3.151,0.0,23.0
deco_best_ns_ts_decay_6_tlag12,44024.0,0.085,0.247,0.0,1.0
deco_best_osv_ts_decay_6_tlag12,44024.0,0.047,0.193,0.0,1.0
deco_best_sb_ts_decay_6_tlag12,44024.0,0.072,0.237,0.0,1.0
